Average Price Levels of California Cities Cafes vs. Restaurants
City, Average Cafe Price Levels, Average Restaurant Price Levels
Cupertino,3.0,3.0
Fresno,2.25,2.2
Oakland,2.1,2.19
San Francisco,2.08,2.2
Los Angeles,2.04,2.08
Mountain View,2.0,1.89
Mammoth Lakes,2.0,2.11
Santa Clara,2.0,2.0
San Dimas,2.0,2.0
Alameda,2.0,2.0
Berkeley,2.0,2.0
Clovis,2.0,2.0
Bass Lake,2.0,2.0
La Verne,1.89,1.75
Glendora,1.83,1.75
Sunnyvale,1.73,1.67
Shaver Lake,1.5,2.0
Claremont,1.25,1.67
Pomona,1.0,2.0
Oakhurst,1.0,1.25
Fish Camp,0.0,0.0
